PlantDoc Class,Total,Correct,Accuracy (%)
Tomato_leaf_late_blight,111,82,73.9
Corn_Gray_leaf_spot,67,44,65.7
Squash_Powdery_mildew_leaf,130,77,59.2
Tomato_leaf,52,29,55.8
grape_leaf_black_rot,79,34,43.0
Tomato_leaf_yellow_virus,238,94,39.5
Bell_pepper_leaf_spot,83,32,38.6
Bell_pepper_leaf,42,16,38.1
Raspberry_leaf,119,39,32.8
Tomato_Septoria_leaf_spot,157,51,32.5
Apple_leaf,88,28,31.8
Tomato_Early_blight_leaf,88,28,31.8
grape_leaf,75,21,28.0
Strawberry_leaf,96,19,19.8
Potato_leaf_early_blight,171,32,18.7
Corn_leaf_blight,194,35,18.0
Blueberry_leaf,117,19,16.2
Apple_Scab_Leaf,93,14,15.1
Potato_leaf_late_blight,208,30,14.4
Soyabean_leaf,65,6,9.2
Tomato_mold_leaf,91,7,7.7
Apple_rust_leaf,106,5,4.7
Peach_leaf,112,4,3.6
Corn_rust_leaf,117,4,3.4
Cherry_leaf,57,1,1.8
Tomato_leaf_bacterial_spot,110,1,0.9
Tomato_leaf_mosaic_virus,54,0,0.0
Tomato_two_spotted_spider_mites_leaf,2,0,0.0
